REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,STD_REPORT_DATE,ACCOUNTS_PAYABLE,DEFER_INCOME,LONG_LOAN,MINORITY_EQUITY,MONETARYFUNDS,NET_CURRENT_ASSETS,OTHER_CURRENT_ASSET,PREPAYMENT,SHARE_CAPITAL,SHORT_LOAN,TAX_PAYABLE,TOTAL_ASSETS,TOTAL_ASSETS_LESS_CURRENT_LIAB,TOTAL_CURRENT_ASSETS,TOTAL_CURRENT_LIAB,TOTAL_EQUITY,TOTAL_LIABILITIES,TOTAL_LIAB_EQUITY,TOTAL_NONCURRENT_ASSETS,TOTAL_NONCURRENT_LIAB,TOTAL_PARENT_EQUITY,UNASSIGN_RPOFIT,中长期存款,储备,其他储备,其他应付款及应计费用,其他流动负债,其他流动资产,其他综合性收益,其他非流动负债,其他非流动资产,可供出售投资,可供出售投资(流动),可转换票据及债券,合营公司权益,商誉,固定资产,土地使用权,在建工程,存货,库存股,应付债券,应付关联方款项(流动),应付关联方款项(非流动),应付票据,应收关联方款项,应收帐款,总权益及非流动负债,总资产减总负债合计,投资物业,拟派股息,持作出售的负债(流动),持作出售的资产(流动),指定以公允价值记账之金融资产,指定以公允价值记账之金融资产(流动),无形资产,流动负债其他项目,物业厂房及设备,联营公司权益,股本溢价,融资租赁负债(流动),融资租赁负债(非流动),衍生金融工具-负债(流动),递延税项负债,递延税项资产,长期投资,非流动负债其他项目,非流动资产其他项目,非运算项目
2012-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2012-06-30 00:00:00,211272415.2,54551261.52,25873452.36,751895340.84,2026184472.9,2095399911.78,,682921207.0799999,100709017.92,140874907.32,52332232.68,5877322068.24,4149725779.08,3822996200.94,1727596289.16,7278346116.72,1862201339.46,5877322068.24,2054325867.3,134605050.3,4015120728.78,,,3162516370.02,,1308900112.38,,,,,,59614592.94,,,,64090965.96,,,,418408404.12,,,14216621.58,,,1005981.48,1035564998.58,4149725779.08,,,,,,,78089923.8,63125745.48,,1398866161.14,21533221.08,,,,,54180336.42,27916393.68,,,,
2012-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2012-12-31 00:00:00,239346703.0,60739151.8,16137536.7,975225512.0,2065603886.75,2272964989.8,,554397605.4,100169165.6,17146234.1,24227387.15,6244500181.3,4789074704.0,3728390467.1,1455425477.3,8405815991.200001,1553979429.7,6244500181.3,2516109714.2,98553952.4,4690520751.6,,,3534990579.35,,1169694100.05,,,,,,24179547.0,,,,31450438.95,,,,448462485.45,,,5011053.0,,,497861.9,919272807.75,4789074704.0,,,80135494.65,,,,96879547.15,66704575.25,,1392497030.5,588310595.8,,,,,21677263.9,56243799.4,,,,
2013-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2013-06-30 00:00:00,366939519.55,67670905.25,16105444.45,920494773.1,2148050809.15,2200364230.4,,794752186.65,98402600.8,20132004.7,44044435.7,7230105126.25,4954106880.25,4476362476.4,2275998246.0,8778213592.6,2380750943.4,7230105126.25,2753742649.85,104752697.4,4849354182.85,,,3830456808.95,,1842228181.45,,,,,,23753121.0,,,652570401.3,40630422.4,,,,495773516.55,,,2654104.6,,,917625.6,1286194860.85,4954106880.25,,,,,,,106861165.25,67347505.95,,1406183170.1,151818447.25,,,,,20976347.7,55251894.2,,,,
2013-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2013-12-31 00:00:00,373461608.69,75632967.31,,1366426069.81,2344021306.89,2552905320.83,,646608917.91,97127709.28,58301313.19,45811263.41,7837822301.41,5809451111.31,4581276510.93,2028371190.1,9994539249.17,2157339641.92,7837822301.41,3256545790.48,128968451.82,5680482659.49,,,4139226555.73,,1549914068.52,,,,,,112231973.81,,,,45666597.09,,,,633184826.89,,,882936.29,,,801168.37,1244600517.54,5809451111.31,,,77702324.67,,,,109035948.86,68998758.57,,1656673881.53,879887290.06,,,,,53335484.51,96111113.89,,,,
2014-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2014-06-30 00:00:00,419949312.5,78534418.75,1026506868.75,1262908637.5,3813567112.5,3386424043.75,,957456968.75,98056700.0,59493150.0,61686281.25,10308340762.5,7020335368.75,6674429437.5,3288005393.75,10449078987.5,4452346950.0,10308340762.5,3633911325.0,1164341556.25,5855993812.5,,,4495028475.0,,2740432193.75,,,,,,326779731.25,,,,46039881.25,,,,617101731.25,,,6444456.25,,,552450.0,1592389500.0,7020335368.75,,,,,,,138585575.0,70017481.25,,1682910337.5,969268762.5,,,,,59300268.75,93671231.25,,,,
2014-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2014-12-31 00:00:00,611564367.67,93914973.5,1016535515.39,1741552010.98,3524933853.71,3407329902.98,,1458168607.49,97453844.32,343305968.69,136332513.4,11173508136.67,8127466494.03,6453371545.62,3046041642.64,12171426320.060001,4217018971.15,11173508136.67,4720136591.05,1170977328.51,6956489165.52,,,5117483310.22,,1928049556.55,,,,,,335713883.81,,,,87446239.5,,,,711264913.75,,,26789236.33,,,14239103.5,1490696873.07,8127466494.03,,,,,,,417841561.77,127980746.71,,1846097796.6,1073984184.27,,,,,60526839.62,85140372.49,,,,
2015-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2015-06-30 00:00:00,1128052190.91,101337173.61,1285670883.0,1563696915.72,2837468462.43,3447485898.78,,2241309269.6099997,97421724.96,168278333.46,70423661.61,13253974271.94,8787649992.54,7913810178.18,4466324279.4,13116227763.24,5914011932.46,13253974271.94,5340164093.76,1447687653.06,7339962339.48,,,5678843698.8,,3060116723.73,,,,,,718978891.44,639606083.55,,,100043064.6,,,,653540033.64,,,39453369.69,,,15093206.79,1826242534.14,8787649992.54,,401794429.17,,,,,446941563.06,138170780.88,,1904827520.64,1244863469.94,,,,,60679596.45,85094962.05,,,,
2015-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2015-12-31 00:00:00,643073225.76,118661483.64,256412622.36,2251246391.46,2271272684.58,3696016432.62,,1688831272.98,155244822.9,1189639222.2,215494609.38,13808807708.04,9180867423.48,8323956717.18,4627940284.56,15246702088.740002,5059833467.94,13808807708.04,5484850990.86,431893183.38,8748974240.1,,,6342483025.74,,2579733227.22,,,,,,308597100.78,2027157834.84,,,92749786.02,,,,796014991.44,,,,,,,1563639294.24,9180867423.48,8748974240.1,859749942.72,,,,188491284.42,386070806.28,166640306.46,,2225300344.86,1054197842.94,,,,,56819077.38,180094215.48,,,,
2016-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2016-06-30 00:00:00,689899880.04,141728216.76,275422535.52,1968717815.61,3250658715.36,3841796348.88,,2244298465.08,158374624.35,1202607866.34,115031744.64,15678032293.2,9592716938.28,9927111703.8,6085315354.92,16275613283.849998,6555866743.47,15678032293.2,5750920589.4,470551388.55,9122165549.73,,,6995073109.77,,4077775863.9,,,,,,342834631.77,1433630295.36,,,94562398.14,,,,808729778.16,,,,,,,2186137316.91,9592716938.28,,856731464.04,,,,190345265.04,422683031.19,181265250.96,,2304788589.0,1142239105.56,,,,,53400636.27,219127986.63,,,,
2016-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2016-12-31 00:00:00,,201603000.0,1678968000.0,2772779000.0,3765873000.0,7076132000.0,,3694758000.0,170033000.0,1369473000.0,193025000.0,18383922000.0,12727579000.0,12732475000.0,5656343000.0,18582777000.0,7706144000.0,18383922000.0,5651447000.0,2049801000.0,10677778000.0,,,7734966000.0,,3267111000.0,,,,,,369447000.0,2122358000.0,,,88926000.0,,,,895133000.0,,,,,826734000.0,349199000.0,1995827000.0,12727579000.0,10677778000.0,421494000.0,,,,147926000.0,408557000.0,181427000.0,,2687355000.0,894714000.0,,,,,169230000.0,360928000.0,,,,
2017-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2017-06-30 00:00:00,1165229000.0,133986000.0,1632527000.0,2267932000.0,3859639000.0,6329290000.0,,3449539000.0,170033000.0,998823000.0,96293000.0,19606370000.0,12704205000.0,13231455000.0,6902165000.0,19556086000.0,8694361000.0,19606370000.0,6374915000.0,1792196000.0,10912009000.0,,,8474044000.0,,4641820000.0,,,,,,530972000.0,2825588000.0,,,99384000.0,,,,873899000.0,,,,,,,2399646000.0,12704205000.0,10912009000.0,397442000.0,,,,160246000.0,703742000.0,177243000.0,,2866296000.0,1017212000.0,,,,,25683000.0,245522000.0,,,,
2017-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2017-12-31 00:00:00,928607000.0,241912000.0,2209897000.0,3402255000.0,4188140000.0,8091668000.0,,3863059000.0,170033000.0,741307000.0,292595000.0,20935339000.0,15246888000.0,13780119000.0,5688451000.0,21819843000.0,8324290000.0,20935339000.0,7155220000.0,2635839000.0,12611049000.0,,,9038761000.0,,3725942000.0,,,,,,540138000.0,2647426000.0,,,88926000.0,,,,918819000.0,,,,,,,2051290000.0,15246888000.0,12611049000.0,370163000.0,,,,190421000.0,943726000.0,219249000.0,,3483253000.0,1048155000.0,,,,,184030000.0,382574000.0,,,,
2018-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2018-06-30 00:00:00,841482000.0,571654000.0,2213800000.0,4002994000.0,5539552000.0,9190567000.0,,4527925000.0,279208000.0,1079501000.0,184520000.0,34985598000.0,27296044000.0,16880121000.0,7689554000.0,44590518000.0,10688842000.0,34985598000.0,18105477000.0,2999288000.0,24296756000.0,,,20203373000.0,-188819000.0,5584051000.0,,,,,,653605000.0,3129501000.0,,,9908639000.0,,,,1201206000.0,,,,,,,3243388000.0,27296044000.0,24296756000.0,364275000.0,,,,177735000.0,324739000.0,243141000.0,,4862571000.0,353112000.0,,,,,213834000.0,456209000.0,,,,
2018-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2018-12-31 00:00:00,1832166000.0,532941000.0,507066000.0,8336686000.0,6676042000.0,8869504000.0,,7011925000.0,278846000.0,2905575000.0,246498000.0,49780208000.0,40111587000.0,18538125000.0,9668621000.0,66762362000.0,12230684000.0,49780208000.0,31242083000.0,2562063000.0,37549524000.0,,,29391280000.0,,4684382000.0,,,,,,,,,,13896976000.0,,,,1209160000.0,-457288000.0,,,,,,2924045000.0,40111587000.0,37549524000.0,367664000.0,,,,743280000.0,2000685000.0,8349174000.0,,5804369000.0,326329000.0,,,,,1522056000.0,470559000.0,,,,
2019-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2019-06-30 00:00:00,2401254000.0,417888000.0,2393410000.0,8887251000.0,7181548000.0,11722421000.0,,8188970000.0,278452000.0,787199000.0,135524000.0,53471187000.0,43328437000.0,21865171000.0,10142750000.0,68735479000.0,14659822000.0,53471187000.0,31606016000.0,4517072000.0,38811365000.0,,,30073110000.0,,6802879000.0,,,,,,,,,,13896976000.0,,,,1519652000.0,-427448000.0,,,,,,3523360000.0,43328437000.0,38811365000.0,356453000.0,,,,880166000.0,2898221000.0,8045862000.0,,6069779000.0,331760000.0,,15894000.0,70650000.0,,1635124000.0,477554000.0,,,100886000.0,
2019-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2019-12-31 00:00:00,1809445000.0,480652000.0,7884802000.0,5611937000.0,11911210000.0,16790070000.0,,7317717000.0,278451000.0,666749000.0,189873000.0,37514192000.0,29391167000.0,24913095000.0,8123025000.0,35510427000.0,16953010000.0,37514192000.0,12601097000.0,8829985000.0,20561182000.0,,,15083631000.0,,5433879000.0,,,,,,,,,,88926000.0,,,,1658597000.0,-412837000.0,,,,,151588000.0,2712209000.0,29391167000.0,20561182000.0,563395000.0,,,,1211084000.0,1576240000.0,1324212000.0,,6379337000.0,808443000.0,,23079000.0,41270000.0,,423261000.0,557348000.0,,,1253886000.0,
2020-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2020-06-30 00:00:00,2801554000.0,312927000.0,8123820000.0,9988860000.0,17090761000.0,23866186000.0,,9582707000.0,278301000.0,307575000.0,132426000.0,68348340000.0,57813438000.0,34401088000.0,10534902000.0,73016846000.0,26845487000.0,68348340000.0,33947252000.0,16310585000.0,41502853000.0,,,31648529000.0,,7256336000.0,,,,,,,,6255315000.0,,13896976000.0,,,,1802666000.0,-412837000.0,,,,,144747000.0,4329135000.0,57813438000.0,41502853000.0,560915000.0,,,,1501639000.0,1982591000.0,7435984000.0,,7244380000.0,946145000.0,,37011000.0,41395000.0,,1577128000.0,501342000.0,,,1328352000.0,
2020-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2020-12-31 00:00:00,1947802000.0,608201000.0,6922115000.0,5672398000.0,11259084000.0,11850664000.0,,2780376000.0,415895000.0,1552825000.0,60701000.0,47210438000.0,36266899000.0,22794203000.0,10943539000.0,39166718000.0,24790880000.0,47210438000.0,24416235000.0,13847341000.0,22419558000.0,,2950000000.0,16801209000.0,,7353512000.0,,,,,,,,5880512000.0,,88926000.0,,,,1880051000.0,-469944000.0,,,,,125536000.0,2914077000.0,36266899000.0,22419558000.0,308559000.0,,,,5856181000.0,4216731000.0,924710000.0,,6870288000.0,5050637000.0,,28699000.0,264861000.0,,171652000.0,463366000.0,,,1521916000.0,
