REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,BASIC_EPS,CONTINUED_NETPROFIT,DILUTED_EPS,FINANCE_EXPENSE,GROSS_PROFIT,HOLDER_PROFIT,INCOME_TAX,INTEREST_INCOME,MANAGE_EXPENSE,MINORITY_INTEREST,NETPROFIT,NETPROFIT_OTHER,NON_OPERATING_ITEMS,OPERATE_COST,OPERATE_INCOME,OPERATE_PROFIT,OTHER_INCOME,PARENT_TCI,SALE_EXPENSE,TOTAL_PROFIT,全面收益总额,其他全面收益,其他全面收益其他项目,其他支出,其他收入,其他营业收入,应占合营公司溢利,应占联营公司溢利,终止或非持续业务溢利,股息,销售成本,非控股权益应占全面收益总额
2010-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2010-01-01 00:00:00,0.036204185,,,2707898.56,1331223520.5,167805961.28,67495069.52,,215440200.06,107940814.7,275746775.98,,,,3355948237.16,346530755.8,,176198353.08,703393226.37,343241845.5,292510622.22,16763846.24,16763846.24,114598895.18,48739556.91,,,-581011.74,,,346750598.08,116312269.14
2010-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2010-01-01 00:00:00,,,,4938797.72,2451634845.32,482389664.21,163235603.76,,390686639.97,248873198.96,731262863.17,,,,6158645017.78,776441289.66,,,1301077926.51,894498466.93,,,,182473429.2,199044440.02,,,122995974.99,,,627687663.57,
2011-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2011-01-01 00:00:00,0.037090252,,,6924068.12,1732271944.58,183938543.22,79551105.96,,216837430.42,117150309.4,301088852.62,,,,4503007742.04,390616903.72,,210651009.24,951438146.36,380639958.58,348996817.58,47907964.96,47907964.96,214197868.54,40818404.46,,,-3052877.02,,,519231926.44,138345808.34
2011-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2011-01-01 00:00:00,,,,9256572.6,3243736358.5,375192770.7,98554366.9,,400519849.4,297071286.6,672264057.3,,,,8384833375.6,618278733.6,,,1837895002.9,770818424.2,,,,468253834.4,81211061.8,,,161796263.2,,,948680329.3,
2012-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2012-01-01 00:00:00,0.056983878,428836698.36,0.056983878,5038874.82,2265039856.8,281539487.88,153291523.14,,289624024.62,147297210.48,428836698.36,,-615183762.06,,5760447237.72,494237722.86,,256889680.74,1296114201.9,582128221.5,397452358.8,-31384339.56,-31384339.56,247830140.88,62766233.46,,92138610.06,790763.4,,,615183762.06,140562678.06
2012-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2012-01-01 00:00:00,,,,7824702.5,4772907165.85,722271124.3,247418714.75,,543237066.0,427086046.9,1149357171.2,,,,12157703269.6,1209851446.3,,,2694084802.4,1396775885.95,,,,438647146.2,112913295.05,,,194749142.15,,,1305944468.95,
2013-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2013-01-01 00:00:00,0.077982245,,0.077982245,687422.65,2972113646.15,385446562.25,128006381.55,,254235660.05,168399432.05,553845994.3,,,,7570114883.4,564701377.7,,436531703.4,1757389234.05,681852375.85,615900425.5,62054431.2,62054431.2,454908908.45,59121534.1,,,117838420.8,,,812943795.55,179368722.1
2013-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2013-01-01 00:00:00,0.164951054,,0.164951054,1965575.0,6032620924.35,815134959.72,278758632.73,,501860043.76,585894664.85,1401029624.57,,,,15569234662.16,1494629519.84,,901750773.9,3470408212.78,1679788257.3,1540524123.63,139494499.06,139494499.06,714149219.83,148426071.86,,,187124312.46,,,1751996406.73,638773349.73
2014-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2014-01-01 00:00:00,0.1016,,0.1016,7954962.5,3668418018.75,502030206.25,176866550.0,,229896987.5,220483112.5,722513318.75,,-89250837.5,,9387046250.0,772733087.5,99689443.75,433880418.75,2083206400.0,899379868.75,633262481.25,-89250837.5,-89250837.5,682270987.5,,,,134601743.75,,,1025105106.25,199382062.5
2014-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2014-01-01 00:00:00,0.241551994,,0.241551994,33997141.52,7460989674.53,1193722028.35,347223497.11,,650790928.42,668842640.63,1862564668.98,,,,19529817929.0,1978100202.57,231282484.34,1138877419.34,4214559274.49,2209788166.09,1779118789.25,-83445879.73,-83445879.73,848821753.39,,,,265685105.04,,,2303919289.97,640241369.91
