日期,IDX_000300_close,IDX_000300_volume,IDX_000300_turnover
2024-04-30,3604.394,19129689900,
2024-05-06,3657.877,20801800700,
2024-05-07,3659.008,16483428600,
2024-05-08,3630.223,13003533600,
2024-05-09,3664.561,14655901700,
2024-05-10,3666.277,15072053600,
2024-05-13,3664.691,15726745500,
2024-05-14,3657.045,13340649000,
2024-05-15,3626.056,12352276400,
2024-05-16,3640.359,15463050300,
2024-05-17,3677.97,16457041700,
2024-05-20,3690.962,18460942300,
2024-05-21,3676.161,13067828300,
2024-05-22,3684.451,15191460500,
2024-05-23,3641.792,14257299000,
2024-05-24,3601.475,12479117700,
2024-05-27,3635.708,13127264400,
2024-05-28,3609.172,12353223800,
2024-05-29,3613.522,11590632100,
2024-05-30,3594.312,12260299500,
2024-05-31,3579.925,11246201900,
2024-06-03,3588.748,14105459100,
2024-06-04,3615.671,12454509600,
2024-06-05,3594.794,11090676600,
2024-06-06,3592.245,13789351700,
2024-06-07,3574.114,13110302600,
2024-06-11,3542.877,13452230600,
2024-06-12,3544.123,12281372900,
2024-06-13,3526.131,12324546200,
2024-06-14,3541.533,17151694200,
2024-06-17,3536.199,13743343800,
2024-06-18,3545.59,12367183800,
2024-06-19,3528.749,10664279700,
2024-06-20,3503.282,11161739600,
2024-06-21,3495.62,10918661500,
2024-06-24,3476.81,11799018400,
2024-06-25,3457.902,11844811800,
2024-06-26,3480.265,10589886100,
2024-06-27,3454.118,11491810100,
2024-06-28,3461.657,13540915300,
2024-07-01,3478.183,12182977000,
2024-07-02,3471.786,12165012100,
2024-07-03,3463.414,10385710800,
2024-07-04,3445.813,10442990900,
2024-07-05,3431.061,11660965900,
2024-07-08,3401.76,11552821800,
2024-07-09,3439.811,13162944300,
2024-07-10,3428.966,12720345600,
2024-07-11,3468.169,14589246600,
2024-07-12,3472.401,13087458900,
2024-07-15,3476.247,11851708300,
2024-07-16,3498.283,12065901700,
2024-07-17,3501.584,13180206200,
2024-07-18,3520.931,12376819900,
2024-07-19,3539.016,13244797500,
2024-07-22,3514.925,13212633700,
2024-07-23,3439.878,12889766000,
2024-07-24,3418.166,12703626300,
2024-07-25,3399.272,13102224200,
2024-07-26,3409.293,12419555800,
2024-07-29,3390.742,10978778600,
2024-07-30,3369.382,10495216400,
2024-07-31,3442.084,17195917700,
2024-08-01,3419.267,13632346400,
2024-08-02,3384.392,11661525500,
2024-08-05,3343.321,14281251600,
2024-08-06,3342.979,11934027900,
2024-08-07,3341.489,9508437700,
2024-08-08,3342.937,9249569500,
2024-08-09,3331.627,9151162600,
2024-08-12,3325.865,7993875400,
2024-08-13,3334.39,8448967900,
2024-08-14,3309.239,7874240700,
2024-08-15,3341.953,10476639900,
2024-08-16,3345.634,9651908300,
2024-08-19,3356.968,10557111000,
2024-08-20,3332.703,10166833100,
2024-08-21,3321.635,8995475100,
2024-08-22,3313.136,10036650400,
2024-08-23,3327.191,8952577400,
2024-08-26,3324.223,9399077200,
2024-08-27,3305.334,9580815700,
2024-08-28,3286.496,9269665000,
2024-08-29,3277.681,13070233300,
2024-08-30,3321.432,18869544300,
2024-09-02,3265.011,14761235300,
2024-09-03,3273.428,12289730600,
2024-09-04,3252.165,10483248200,
2024-09-05,3257.758,9710945000,
2024-09-06,3231.346,8840041700,
2024-09-09,3192.952,10867306900,
2024-09-10,3195.755,9729007800,
2024-09-11,3186.13,10248211000,
2024-09-12,3172.475,9286865700,
2024-09-13,3159.247,8833667700,
2024-09-18,3171.01,8472281400,
2024-09-19,3196.036,12543927200,
2024-09-20,3201.05,11806409800,
2024-09-23,3212.764,9534485500,
2024-09-24,3351.909,20407221700,
2024-09-25,3401.533,24156425500,
2024-09-26,3545.32,24313401000,
2024-09-27,3703.685,26548777400,
2024-09-30,4017.855,51021770700,
2024-10-08,4256.096,58986789400,
2024-10-09,3955.984,48226929500,
2024-10-10,3997.788,39505309900,
2024-10-11,3887.167,27409650500,
2024-10-14,3961.342,30757899300,
2024-10-15,3855.995,24248644800,
2024-10-16,3831.589,21886640700,
2024-10-17,3788.222,21231382000,
2024-10-18,3925.234,31295883400,
2024-10-21,3935.197,29118563400,
2024-10-22,3957.776,22343339600,
2024-10-23,3973.209,24587394900,
2024-10-24,3928.833,17472406200,
2024-10-25,3956.421,21069488500,
2024-10-28,3964.157,21616041500,
2024-10-29,3924.649,21729398400,
2024-10-30,3889.449,21943662600,
2024-10-31,3891.04,30063671800,
2024-11-01,3890.02,30798648100,
2024-11-04,3944.762,22923906000,
2024-11-05,4044.573,31686279400,
2024-11-06,4024.283,33580793800,
2024-11-07,4145.695,34143641400,
2024-11-08,4104.047,33235038500,
2024-11-11,4131.131,28959422700,
2024-11-12,4085.743,29777808600,
2024-11-13,4110.89,24048409900,
2024-11-14,4039.619,23015278400,
2024-11-15,3968.831,24739946300,
2024-11-18,3950.381,30677794600,
2024-11-19,3976.891,24294646500,
2024-11-20,3985.773,18459937200,
2024-11-21,3989.298,16612592700,
2024-11-22,3865.699,21628580900,
2024-11-25,3848.091,19070295300,
2024-11-26,3840.185,14989244100,
2024-11-27,3907.045,17413609600,
2024-11-28,3872.551,15011729100,
2024-11-29,3916.583,18765671300,
2024-12-02,3947.632,19728978400,
2024-12-03,3951.891,18249686700,
2024-12-04,3930.557,17462631800,
2024-12-05,3921.588,13853403800,
2024-12-06,3973.141,19205790700,
2024-12-09,3966.571,17595995800,
2024-12-10,3995.637,25346379500,
2024-12-11,3988.831,17725284600,
2024-12-12,4028.505,18162177700,
2024-12-13,3933.181,23035307900,
2024-12-16,3911.842,17851125100,
2024-12-17,3922.033,16093909000,
2024-12-18,3941.89,15773832100,
2024-12-19,3945.464,16108104000,
2024-12-20,3927.744,15498649600,
2024-12-23,3933.572,19006736200,
2024-12-24,3983.688,16149458900,
2024-12-25,3985.629,15939074700,
2024-12-26,3987.48,14342528600,
2024-12-27,3981.031,16926866600,
2024-12-30,3999.055,16461248500,
2024-12-31,3934.911,18392839700,
2025-01-02,3820.395,21789872400,
2025-01-03,3775.165,17534267600,
2025-01-06,3768.97,15094667000,
2025-01-07,3796.106,14645577900,
2025-01-08,3789.215,16916696800,
2025-01-09,3779.877,12979400200,
2025-01-10,3732.481,13752317100,
2025-01-13,3722.513,13644619900,
2025-01-14,3820.54,17066465700,
2025-01-15,3796.026,14147552000,
2025-01-16,3800.384,14450587100,
2025-01-17,3812.343,12662196100,
2025-01-20,3829.676,13958127700,
2025-01-21,3832.615,14121840600,
2025-01-22,3797.017,13725506200,
2025-01-23,3803.744,18056955100,
2025-01-24,3832.864,14897172200,
2025-01-27,3817.08,14667077200,
2025-02-05,3795.085,15716830800,
2025-02-06,3842.831,16728817600,
2025-02-07,3892.703,22185770700,
2025-02-10,3901.062,18890304000,
2025-02-11,3883.135,16657490900,
2025-02-12,3919.862,16422854000,
2025-02-13,3905.14,17248587400,
2025-02-14,3939.009,17297645200,
2025-02-17,3947.398,21358824600,
2025-02-18,3912.783,20942510100,
2025-02-19,3940.16,18282951700,
2025-02-20,3928.896,16389523600,
2025-02-21,3978.444,22740033000,
2025-02-24,3969.717,22081061800,
2025-02-25,3925.651,17810858000,
2025-02-26,3959.941,19106250100,
2025-02-27,3968.116,20288796300,
2025-02-28,3890.049,19810414700,
2025-03-03,3888.474,17762316600,
2025-03-04,3885.221,14985096700,
2025-03-05,3902.571,15865275100,
2025-03-06,3956.237,19396091500,
2025-03-07,3944.014,16673237500,
2025-03-10,3928.802,15276523200,
2025-03-11,3941.416,14475440200,
2025-03-12,3927.232,15673219000,
2025-03-13,3911.579,15653644300,
2025-03-14,4006.557,21613900300,
2025-03-17,3996.788,16220291100,
2025-03-18,4007.723,14020849600,
2025-03-19,4010.168,14441942800,
2025-03-20,3974.992,13375467000,
2025-03-21,3914.696,16590529400,
2025-03-24,3934.849,15223467400,
