REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,BASIC_EPS,CONTINUED_NETPROFIT,DILUTED_EPS,FINANCE_EXPENSE,GROSS_PROFIT,HOLDER_PROFIT,INCOME_TAX,INTEREST_INCOME,MANAGE_EXPENSE,MINORITY_INTEREST,NETPROFIT,NETPROFIT_OTHER,NON_OPERATING_ITEMS,OPERATE_INCOME,OPERATE_PROFIT,OTHER_INCOME,PARENT_TCI,RESEARCH_EXPENSE,SALE_EXPENSE,TOTAL_PROFIT,全面收益总额,其他全面收益,其他全面收益其他项目,其他支出,其他收入,重估盈余,销售成本,非控股权益应占全面收益总额
2015-12-31,01810.HK,01810,小米集团-W,10932245,001,12-31,2015-01-01 00:00:00,-0.783,,-0.783,85867000.0,2699933000.0,-7581295000.0,154519000.0,,766252000.0,-45735000.0,-7627030000.0,-8759314000.0,,133622516000.0,1372670000.0,-379439000.0,-13098817000.0,1511815000.0,1912765000.0,-7472511000.0,-13136127000.0,-5509097000.0,-5509097000.0,92781000.0,522436000.0,2813353000.0,64111325000.0,-37310000.0
2016-12-31,01810.HK,01810,小米集团-W,10932245,001,12-31,2016-01-01 00:00:00,0.057,,0.057,86246000.0,7249355000.0,553250000.0,683903000.0,,926833000.0,-61644000.0,491606000.0,-2523309000.0,,136868322000.0,3785064000.0,-528250000.0,-6254475000.0,2104226000.0,3022313000.0,1175509000.0,-6307155000.0,-6798761000.0,-6798761000.0,150445000.0,540493000.0,2727283000.0,61184806000.0,-52680000.0
2017-03-31,01810.HK,01810,小米集团-W,10932245,003,12-31,2017-01-01 00:00:00,-0.804,,-0.804,12121000.0,2464118000.0,-7845891000.0,344915000.0,,240209000.0,-21127000.0,-7867018000.0,-9464478000.0,,37063586000.0,1954496000.0,-75319000.0,-7260782000.0,604689000.0,726857000.0,-7522103000.0,-7282349000.0,584669000.0,584669000.0,66404000.0,24156000.0,1179700000.0,16067675000.0,-21567000.0
2017-06-30,01810.HK,01810,小米集团-W,10932245,002,12-31,2017-01-01 00:00:00,-2.03,,-2.03,7641000.0,6311749000.0,-19806442000.0,971100000.0,,469048000.0,-27148000.0,-19833590000.0,-24468644000.0,,90821604000.0,5613795000.0,-10578000.0,-16955302000.0,1312000000.0,1870371000.0,-18862490000.0,-16986493000.0,2847097000.0,2847097000.0,151014000.0,197057000.0,2918000000.0,39099053000.0,-31191000.0
2017-09-30,01810.HK,01810,小米集团-W,10932245,004,12-31,2017-01-01 00:00:00,-3.156,,-3.156,,11513782000.0,-30796250000.0,1700090000.0,10588000.0,765988000.0,-30009000.0,-30826259000.0,-38338310000.0,,159021364000.0,9201553000.0,211732000.0,-25171804000.0,2116787000.0,3317034000.0,-29126169000.0,-25218639000.0,5607620000.0,5607620000.0,217747000.0,303123000.0,3590472000.0,67996900000.0,-46835000.0
2017-12-31,01810.HK,01810,小米集团-W,10932245,001,12-31,2017-01-01 00:00:00,-4.491,,-4.491,,15154205000.0,-43826016000.0,2059763000.0,26784000.0,1216110000.0,-63099000.0,-43889115000.0,-54071603000.0,,229249484000.0,12215467000.0,72040000.0,-35922124000.0,3151401000.0,5231540000.0,-41829352000.0,-35994749000.0,7894366000.0,7894366000.0,231496000.0,448671000.0,6371098000.0,99470537000.0,-72625000.0
2018-03-31,01810.HK,01810,小米集团-W,10932245,003,12-31,2018-01-01 00:00:00,-0.718,,-0.718,,4301427000.0,-7005123000.0,338359000.0,17834000.0,465323000.0,-22288000.0,-7027411000.0,-10071376000.0,,68824724000.0,3364490000.0,113896000.0,-1288535000.0,1103775000.0,1402829000.0,-6689052000.0,-1316521000.0,5710890000.0,5710890000.0,,158226000.0,1762868000.0,30110935000.0,-27986000.0
2018-06-30,01810.HK,01810,小米集团-W,10932245,002,12-31,2018-01-01 00:00:00,0.759,,-0.234,,9953239000.0,7646195000.0,614141000.0,-14496000.0,10922239000.0,-40959000.0,7605236000.0,12461345000.0,,159295670000.0,-4227472000.0,144324000.0,5875458000.0,2467394000.0,3478538000.0,8219377000.0,5836366000.0,-1768870000.0,-1768870000.0,112183000.0,365541000.0,2289778000.0,69694596000.0,-39092000.0
2018-09-30,01810.HK,01810,小米集团-W,10932245,004,12-31,2018-01-01 00:00:00,0.731,,-0.102,,16530797000.0,10144983000.0,497264000.0,85554000.0,11505489000.0,-59263000.0,10085720000.0,12514279000.0,,260988098000.0,-2016849000.0,-58003000.0,8643851000.0,4001835000.0,5665445000.0,10582984000.0,8593841000.0,-1491879000.0,-1491879000.0,296579000.0,624621000.0,2355084000.0,113963252000.0,-50010000.0
2018-12-31,01810.HK,01810,小米集团-W,10932245,001,12-31,2018-01-01 00:00:00,0.843,13477747000.0,0.044,,22191939000.0,13553886000.0,449377000.0,216373000.0,12099078000.0,-76139000.0,13477747000.0,12514279000.0,-152723486000.0,349830850000.0,1196472000.0,-401639000.0,11989243000.0,5776826000.0,7993072000.0,13927124000.0,11921632000.0,-1556115000.0,-1556115000.0,,844789000.0,4430359000.0,152723486000.0,-67611000.0
