REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,BASIC_EPS,CONTINUED_NETPROFIT,DILUTED_EPS,FINANCE_EXPENSE,GROSS_PROFIT,HOLDER_PROFIT,INCOME_TAX,INTEREST_INCOME,MANAGE_EXPENSE,MINORITY_INTEREST,NETPROFIT,NETPROFIT_OTHER,NON_OPERATING_ITEMS,OPERATE_INCOME,OPERATE_PROFIT,OTHER_INCOME,PARENT_TCI,RESEARCH_EXPENSE,SALE_EXPENSE,TOTAL_PROFIT,全面收益总额,其他全面收益,其他全面收益其他项目,其他支出,其他收入,重估盈余,销售成本,非控股权益应占全面收益总额
2019-03-31,01810.HK,01810,小米集团-W,10932245,003,12-31,2019-01-01 00:00:00,0.132,,0.128,,5215577000.0,3125959000.0,525396000.0,102964000.0,632022000.0,65785000.0,3191744000.0,,,87513646000.0,3614176000.0,-167078000.0,2665952000.0,1650579000.0,1844684000.0,3717140000.0,2727494000.0,-464250000.0,-464250000.0,,60247000.0,2632715000.0,38541246000.0,61542000.0
2019-06-30,01810.HK,01810,小米集团-W,10932245,002,12-31,2019-01-01 00:00:00,0.214,5147302000.0,0.206,-201175000.0,12474296000.0,5077915000.0,1004156000.0,,1355535000.0,69387000.0,5147302000.0,,-83233656000.0,191415904000.0,5950283000.0,-250438000.0,5176000000.0,3206724000.0,4139978000.0,6151458000.0,5248017000.0,100715000.0,100715000.0,,466600000.0,1962062000.0,83233656000.0,72017000.0
2019-09-30,01810.HK,01810,小米集团-W,10932245,004,12-31,2019-01-01 00:00:00,0.32,,0.308,-383243000.0,20710730000.0,7602978000.0,1779575000.0,,2199295000.0,63753000.0,7666731000.0,,,298737916000.0,9063063000.0,-441092000.0,8601235000.0,5239839000.0,6677015000.0,9446306000.0,8678092000.0,1011361000.0,1011361000.0,,914979000.0,1994595000.0,128658228000.0,76857000.0
2019-12-31,01810.HK,01810,小米集团-W,10932245,001,12-31,2019-01-01 00:00:00,0.423,10102950000.0,0.41,528460000.0,28554033000.0,10044164000.0,2059696000.0,930889000.0,3103901000.0,58786000.0,10102950000.0,,-177284649000.0,411677364000.0,11760217000.0,-898221000.0,10472914000.0,7492554000.0,10378073000.0,12162646000.0,10543383000.0,440433000.0,440433000.0,,1265921000.0,3813012000.0,177284649000.0,70469000.0
2020-03-31,01810.HK,01810,小米集团-W,10932245,003,12-31,2020-01-01 00:00:00,0.091,,0.089,161045000.0,7558457000.0,2163515000.0,294195000.0,291946000.0,781533000.0,-3621000.0,2159894000.0,,,99404334000.0,2323188000.0,-379452000.0,2675233000.0,1870984000.0,2624873000.0,2454089000.0,2677122000.0,517228000.0,517228000.0,,73727000.0,347846000.0,42143710000.0,1889000.0
2020-06-30,01810.HK,01810,小米集团-W,10932245,002,12-31,2020-01-01 00:00:00,0.279,6653367000.0,0.271,928070000.0,15259903000.0,6661643000.0,668518000.0,513740000.0,1617959000.0,-8276000.0,6653367000.0,,-87980069000.0,206479944000.0,7736215000.0,801264000.0,7145858000.0,3829256000.0,5848549000.0,7321885000.0,7143357000.0,489990000.0,489990000.0,,256778000.0,2714034000.0,87980069000.0,-2501000.0
2020-09-30,01810.HK,01810,小米集团-W,10932245,004,12-31,2020-01-01 00:00:00,0.48,,0.47,2393698000.0,25425559000.0,11542239000.0,1254851000.0,733430000.0,2470674000.0,-24524000.0,11517715000.0,,33724431000.0,350805498000.0,14432834000.0,549573000.0,10707497000.0,6150520000.0,9449131000.0,12772566000.0,10689001000.0,-828714000.0,-828714000.0,,396069000.0,6131958000.0,149977190000.0,-18496000.0
2020-12-31,01810.HK,01810,小米集团-W,10932245,001,12-31,2020-01-01 00:00:00,0.85,20312710000.0,0.83,3364852000.0,36751862000.0,20355504000.0,1320722000.0,963555000.0,3746449000.0,-42794000.0,20312710000.0,,-209113771000.0,491731266000.0,24034729000.0,1008446000.0,17986452000.0,9256139000.0,14539400000.0,21633432000.0,17949889000.0,-2362821000.0,-2362821000.0,,642930000.0,13173479000.0,209113771000.0,-36563000.0
2021-03-31,01810.HK,01810,小米集团-W,10932245,003,12-31,2021-01-01 00:00:00,0.31,,0.3,-634009000.0,14161231000.0,7792889000.0,1277973000.0,275208000.0,987652000.0,-3982000.0,7788907000.0,,7788907000.0,153764326000.0,8157663000.0,-55710000.0,8196150000.0,3011991000.0,4163475000.0,9066880000.0,8193277000.0,404370000.0,404370000.0,,152053000.0,2063207000.0,62720932000.0,-2873000.0
2021-06-30,01810.HK,01810,小米集团-W,10932245,002,12-31,2021-01-01 00:00:00,0.64,16052215000.0,0.63,735856000.0,29309273000.0,16061366000.0,2693207000.0,597859000.0,2137988000.0,-9151000.0,16052215000.0,,-135361850000.0,329342246000.0,18883419000.0,1017144000.0,15358957000.0,6076167000.0,9844134000.0,18745422000.0,15346835000.0,-705380000.0,-705380000.0,,386665000.0,6228626000.0,135361850000.0,-12122000.0
2021-09-30,01810.HK,01810,小米集团-W,10932245,004,12-31,2021-01-01 00:00:00,0.67,16840732000.0,0.66,1996415000.0,43601494000.0,16853622000.0,3691803000.0,915850000.0,3412591000.0,-12890000.0,16840732000.0,,-199132484000.0,485467956000.0,21613100000.0,589964000.0,16329297000.0,9313862000.0,14726448000.0,20532535000.0,16314251000.0,-526481000.0,-526481000.0,,621551000.0,4252992000.0,199132484000.0,-15046000.0
2021-12-31,01810.HK,01810,小米集团-W,10932245,001,12-31,2021-01-01 00:00:00,0.78,19283235000.0,0.76,2841457000.0,58260941000.0,19339321000.0,5133798000.0,1229826000.0,4738919000.0,-56086000.0,19283235000.0,,-270048204000.0,656618290000.0,26028664000.0,-2304494000.0,17940990000.0,13167088000.0,20980765000.0,24417033000.0,17879021000.0,-1404214000.0,-1404214000.0,,826856000.0,8132133000.0,270048204000.0,-61969000.0
2022-03-31,01810.HK,01810,小米集团-W,10932245,003,12-31,2022-01-01 00:00:00,-0.02,-530554000.0,-0.02,-229631000.0,12709746000.0,-587600000.0,114624000.0,265702000.0,1244573000.0,57046000.0,-530554000.0,,-60641756000.0,146703004000.0,-911263000.0,-240385000.0,-848799000.0,3494539000.0,5256184000.0,-415930000.0,-793577000.0,-263023000.0,-263023000.0,,164927000.0,-3550255000.0,60641756000.0,55222000.0
2022-06-30,01810.HK,01810,小米集团-W,10932245,002,12-31,2022-01-01 00:00:00,0.03,834823000.0,0.03,146549000.0,24477781000.0,798800000.0,486086000.0,645693000.0,2559977000.0,36023000.0,834823000.0,,-119044598000.0,287044758000.0,821765000.0,-564160000.0,2869183000.0,7257913000.0,10588392000.0,1320909000.0,2913965000.0,2079142000.0,2079142000.0,,351104000.0,-3036678000.0,119044598000.0,44782000.0
2022-09-30,01810.HK,01810,小米集团-W,10932245,004,12-31,2022-01-01 00:00:00,-0.03,-639099000.0,-0.03,431361000.0,36199690000.0,-677250000.0,769313000.0,1100821000.0,3815370000.0,38151000.0,-639099000.0,,-177796958000.0,427993296000.0,-539246000.0,-1244139000.0,3982507000.0,11327702000.0,15470968000.0,130214000.0,4040637000.0,4679736000.0,4679736000.0,,546775000.0,-5427532000.0,177796958000.0,58130000.0
2022-12-31,01810.HK,01810,小米集团-W,10932245,001,12-31,2022-01-01 00:00:00,0.1,2502568000.0,0.1,546483000.0,47577190000.0,2474030000.0,1431388000.0,1663941000.0,5113877000.0,28538000.0,2502568000.0,,-232466826000.0,560088032000.0,2816498000.0,-1768910000.0,6201669000.0,16028132000.0,21323323000.0,3933956000.0,6247923000.0,3745355000.0,3745355000.0,,1135560000.0,-1662010000.0,232466826000.0,46254000.0
2023-03-31,01810.HK,01810,小米集团-W,10932245,003,12-31,2023-01-01 00:00:00,0.17,4216138000.0,0.17,1107646000.0,11591567000.0,4203839000.0,1254575000.0,678150000.0,1135173000.0,12299000.0,4216138000.0,,-47885567000.0,118954268000.0,5900209000.0,42946000.0,3589912000.0,4113360000.0,4103864000.0,5470713000.0,3598538000.0,-617600000.0,-617600000.0,,164834000.0,3453259000.0,47885567000.0,8626000.0
2023-06-30,01810.HK,01810,小米集团-W,10932245,002,12-31,2023-01-01 00:00:00,0.32,7881662000.0,0.31,1043764000.0,25752583000.0,7873814000.0,2544732000.0,1529423000.0,2278363000.0,7848000.0,7881662000.0,,-101079459000.0,253664084000.0,9940735000.0,188215000.0,9980329000.0,8668163000.0,8580622000.0,10426394000.0,9994707000.0,2113045000.0,2113045000.0,,349610000.0,3177475000.0,101079459000.0,14378000.0
2023-09-30,01810.HK,01810,小米集团-W,10932245,004,12-31,2023-01-01 00:00:00,0.51,12750734000.0,0.5,1139366000.0,41862294000.0,12747675000.0,3562860000.0,2501012000.0,3643654000.0,3059000.0,12750734000.0,,-155864160000.0,395452908000.0,14951948000.0,328654000.0,14567324000.0,13634383000.0,13316887000.0,16313594000.0,14576170000.0,1825436000.0,1825436000.0,,478344000.0,2877580000.0,155864160000.0,8846000.0
2023-12-31,01810.HK,01810,小米集团-W,10932245,001,12-31,2023-01-01 00:00:00,0.7,17474196000.0,0.69,1555970000.0,57476239000.0,17475173000.0,4536851000.0,3558347000.0,5126798000.0,-977000.0,17474196000.0,,-213493902000.0,541940282000.0,20008670000.0,1742326000.0,18507548000.0,19097699000.0,19226542000.0,22011047000.0,18510061000.0,1035865000.0,1035865000.0,,740091000.0,3501053000.0,213493902000.0,2513000.0
2024-03-31,01810.HK,01810,小米集团-W,10932245,003,12-31,2024-01-01 00:00:00,0.17,4173212000.0,0.16,-519905000.0,16829717000.0,4182061000.0,1049166000.0,1019435000.0,1523007000.0,-8849000.0,4173212000.0,,-58677105000.0,151013644000.0,3683038000.0,85847000.0,4271146000.0,5159387000.0,5481047000.0,5222378000.0,4262448000.0,89236000.0,89236000.0,,157407000.0,-1226492000.0,58677105000.0,-8698000.0
2024-06-30,01810.HK,01810,小米集团-W,10932245,002,12-31,2024-01-01 00:00:00,0.37,9242881000.0,0.36,-433694000.0,35223894000.0,9280063000.0,2658882000.0,1896310000.0,2705531000.0,-37182000.0,9242881000.0,,-129170756000.0,328789300000.0,9571759000.0,721860000.0,9655013000.0,10657116000.0,11380099000.0,11901763000.0,9612730000.0,369849000.0,369849000.0,,444653000.0,-2075902000.0,129170756000.0,-42283000.0
2024-09-30,01810.HK,01810,小米集团-W,10932245,004,12-31,2024-01-01 00:00:00,0.59,14583173000.0,0.57,-276506000.0,54105304000.0,14632467000.0,4135784000.0,2829429000.0,4120900000.0,-49294000.0,14583173000.0,,-202795887000.0,513802382000.0,15613022000.0,709596000.0,13981969000.0,16613900000.0,17660245000.0,18718957000.0,13919365000.0,-663808000.0,-663808000.0,,720555000.0,-1527388000.0,202795887000.0,-62604000.0
2024-12-31,01810.HK,01810,小米集团-W,10932245,001,12-31,2024-01-01 00:00:00,0.95,23578449000.0,0.93,212447000.0,76560194000.0,23658126000.0,4548204000.0,3836204000.0,5601248000.0,-79677000.0,23578449000.0,,-289346156000.0,731812700000.0,24502896000.0,266511000.0,24407696000.0,24050484000.0,25389628000.0,28126653000.0,24338685000.0,760236000.0,760236000.0,,1666779000.0,1050772000.0,289346156000.0,-69011000.0
2025-03-31,01810.HK,01810,小米集团-W,10932245,003,12-31,2025-01-01 00:00:00,0.44,10892746000.0,0.42,961404000.0,25405910000.0,10924321000.0,2275222000.0,1003965000.0,1530094000.0,-31575000.0,10892746000.0,,-85887427000.0,222586674000.0,13125407000.0,172328000.0,10946363000.0,6711708000.0,7199817000.0,13167968000.0,10912243000.0,19497000.0,19497000.0,,161766000.0,2827022000.0,85887427000.0,-34120000.0
2025-06-30,01810.HK,01810,小米集团-W,10932245,002,12-31,2025-01-01 00:00:00,0.9,22765909000.0,0.87,1473866000.0,51506868000.0,22828726000.0,4804842000.0,2482491000.0,3157238000.0,-62817000.0,22765909000.0,,-175742560000.0,454498856000.0,26562126000.0,1013638000.0,22580000000.0,14475085000.0,14977788000.0,27570751000.0,22499647000.0,-266262000.0,-266262000.0,,461212000.0,6190519000.0,175742560000.0,-80353000.0
2025-09-30,01810.HK,01810,小米集团-W,10932245,004,12-31,2025-01-01 00:00:00,1.37,35022650000.0,1.33,3118126000.0,77443034000.0,35099600000.0,7503746000.0,3972267000.0,5005435000.0,-76950000.0,35022650000.0,,-262927128000.0,680740324000.0,41672255000.0,2235025000.0,33806314000.0,23534458000.0,23287441000.0,42526396000.0,33713340000.0,-1309310000.0,-1309310000.0,,2147854000.0,11673676000.0,262927128000.0,-92974000.0
