常用指标,每股净资产,3.623562,3.564182,3.641137,3.54133,3.652442,3.675349,3.772776,3.68164,3.582016,3.442995,3.418187,3.333056,3.454278,2.415082,2.240862,2.164754,2.089914,1.947693,2.564194,2.597114,2.647905,2.45368,2.360418,2.301311,2.272407,2.133313,2.261184,2.240931,2.279294,2.152935,3.307087,3.221885,3.19953,3.018363,6.124552,6.002936,5.709823,5.485962,11.065771,7.904967,7.584903,7.14893,9.144422,8.894028,8.905331,8.485431,8.927127,5.834584,5.519631,5.20487,,4.580171,,3.44604,2.787462,2.386517,1.819117,5.611435,2.130391
常用指标,每股现金流,0.305475,0.152171,0.047981,0.406372,0.260197,0.110764,0.025666,0.559023,0.274293,0.131626,-0.113316,0.410593,0.111474,0.12496,-0.210297,0.374904,0.035644,-0.034667,-0.323321,0.807162,0.57225,0.348557,0.003835,0.422012,0.349251,0.267739,0.054709,0.333614,0.223497,0.196284,0.162978,0.326738,0.304746,0.289896,0.121298,0.859593,0.547074,0.359676,0.176342,1.454833,1.390262,1.163877,0.336316,0.94505,0.583595,0.410036,0.221046,0.707232,1.09715,0.628525,,1.373495,,0.319793,0.732091,0.002416,1.073764,2.367327,1.30168
常用指标,净资产收益率(ROE),6.85,5.72,2.49,6.31,6.47,4.76,2.07,11.32,9.35,5.77,1.96,12.2,12.59,8.31,3.2,18.93,15.6,8.88,3.04,18.45,15.6,9.57,2.41,13.8,12.74,7.45,2.19,10.49,10.81,6.55,1.79,10.5,9.39,5.49,1.54,10.0,9.05,5.44,2.44,13.47,11.68,6.43,2.34,13.79,10.38,5.79,1.75,24.09,18.6,11.24,2.85,28.26,19.92,36.45,42.04,26.98,22.91,92.18,43.26
常用指标,总资产报酬率(ROA),6.109096,4.883064,2.187682,6.22707,6.242372,4.755194,1.723066,10.048559,8.221983,5.515587,1.65067,9.279666,8.115113,5.977192,1.953045,11.956187,10.43332,6.11958,2.208271,15.64822,13.535142,8.76779,2.312908,13.99458,13.341932,8.332351,2.396092,12.039918,12.248911,7.157188,2.294768,12.442763,10.851412,6.632093,1.892272,12.19256,9.745718,5.745049,1.856358,13.041299,10.877688,6.385144,2.050156,14.546729,11.579163,6.846954,2.241552,17.418175,13.419243,9.023851,,20.053533,,25.016075,30.154395,19.160208,14.40019,45.662366,13.853815
常用指标,毛利率,30.438594,31.593874,31.555699,30.360129,31.32358,32.257396,32.380501,32.448977,33.572851,33.338881,31.7231,30.600653,31.315668,32.041965,33.181541,35.206798,36.29699,36.76834,37.670178,40.303351,42.161046,41.226681,39.418197,40.781235,41.318113,41.293951,39.614286,40.83642,42.419689,41.853171,40.816739,38.624108,39.448519,38.545338,38.04361,37.476896,38.015691,37.460496,35.60043,36.864225,38.23374,37.551873,36.708551,35.892096,36.344269,34.900757,38.947093,37.552751,37.160947,36.708444,36.004532,37.562017,37.346435,35.051563,40.005968,40.677411,41.689327,37.969055,34.77819
常用指标,销售净利率,8.813487,10.677256,9.534153,7.363814,9.942177,11.778466,9.506695,11.144274,11.995601,12.145876,9.126377,10.14579,11.775319,11.4066,9.006123,10.392692,12.264902,11.454,8.91477,12.446854,14.85003,15.133021,10.181147,13.39652,16.811579,16.389804,11.354615,14.103896,17.922708,15.694167,12.329798,14.476108,16.493657,15.529961,10.82434,13.232174,14.402392,13.227693,10.093619,12.352365,14.11888,12.755675,9.928119,11.718378,12.794239,11.802033,10.26108,11.849854,12.226424,13.430822,11.155627,12.212715,11.797469,12.647339,15.417026,20.130485,3.510716,13.661784,3.708643
常用指标,期间费用率,20.919087,20.016295,19.712505,23.283247,21.542177,21.123777,21.308374,20.277401,20.39838,20.747837,22.194138,20.28459,18.177444,18.898708,22.434273,22.880559,22.622606,25.44846,26.512245,26.031564,25.19312,23.569896,26.620748,26.614199,23.27305,24.252337,26.499964,26.713452,23.725844,24.290169,28.539696,24.839261,22.635708,22.973444,26.171217,23.31917,21.772789,22.375125,23.450563,22.362269,21.839033,22.315681,24.323964,22.54686,21.486496,22.330075,29.000168,23.951741,23.386018,22.889107,26.972219,23.702452,24.516219,20.901383,22.717691,18.779908,34.61578,22.632187,29.070897
常用指标,资产负债率,31.493857,32.424886,27.152868,27.763007,26.076877,26.668463,24.442039,28.947145,28.750207,32.366289,33.01379,34.378011,31.905829,43.528753,43.730343,50.073432,48.282025,48.005723,45.32644,37.501214,32.012851,32.028329,21.08281,22.453295,21.723441,24.547292,17.010168,18.77342,17.690066,20.768785,18.404172,16.93661,19.006859,23.831687,17.100159,17.871781,20.768898,21.212219,19.342736,26.064181,28.362914,28.978597,23.957971,24.261436,24.466161,24.300997,23.498034,38.467551,37.255536,35.168333,,39.929926,,48.295132,36.249715,34.540318,44.821749,51.712778,74.806939
每股指标,基本每股收益,0.29,0.23,0.1,0.28,0.28,0.21,0.08,0.47,0.38,0.25,0.08,0.4,0.3438,0.21,0.07,0.42,0.346,0.2035,0.06,0.37,0.41,0.1908,0.058,0.35,0.32,0.2,0.055,0.28,0.28,0.16,0.051,0.27,0.35,0.14,0.06,0.33,0.53,0.16,0.1,0.56,0.48,0.27,0.16,0.91,0.99,0.57,0.2,1.25,0.94,0.62,0.2,1.13,0.76,1.11,0.97,0.57,0.19,3.59,0.76
每股指标,稀释每股收益,0.28,0.23,0.1,0.28,0.28,0.22,0.08,0.45,0.38,0.25,0.08,0.39,0.3411,0.21,0.07,0.41,0.3439,0.2023,0.06,0.37,0.41,0.1903,0.058,0.35,0.32,0.2,0.055,0.28,0.28,0.16,0.051,0.27,0.35,0.14,0.06,0.33,0.53,0.16,0.1,0.55,0.48,0.27,0.16,0.91,0.99,0.57,0.2,1.25,0.94,0.62,0.2,1.13,0.76,1.11,0.97,0.57,0.19,3.59,0.76
