常用指标,每股净资产,2.702546,2.666689,1.739853,2.545656,1.630746,2.437908,1.613365,2.401397,1.578268,2.333836,1.526209,2.262799,1.356978,2.004235,1.282955,1.779012,1.444067,1.451919,1.390217,1.380538,-1.022979,-0.983935,-0.810491,-0.751178,1.649974,2.084324,2.294147,2.275919,2.289395,2.172707,2.983865,2.823446,2.647581,2.518457,2.417428,2.303398,2.160483,-0.98009,-0.837574,-0.718312,-0.547217,-0.428008,-0.166881,0.017629,0.112708,0.303567,0.625858,0.800587,0.772542,0.778538,0.77969,0.766744,0.607757,0.60478,0.553806,0.704763,1.145249,1.238113,1.463221,1.64665,1.324335,1.380647,1.551039,1.588625,1.990703,2.074336,2.133727,2.176781,2.396168,2.359546,2.328396,2.309839,2.302058,2.29618,2.286355,2.263765,2.251386,2.248296,2.645373,2.634691,2.63254,2.621432,2.601279,2.590665,2.571688,2.550522,2.529352,2.509234,2.452697,2.421243,2.397941,2.390855,2.434568,2.385321,2.374316,2.368157,2.345103,2.424997,2.404257,2.588595,2.501631,2.511351,2.410176,1.167108,1.415412,1.0,1.0
常用指标,每股现金流,0.362927,0.287901,0.074851,0.257419,0.086448,0.124441,0.011746,0.253461,0.130912,0.163003,0.015816,0.890714,0.461618,0.443601,0.123619,0.554213,0.28902,0.203783,0.048257,-0.120407,-0.011934,0.014351,0.037527,0.134152,0.210393,-0.009704,0.125551,0.549968,0.448149,0.294746,0.107978,0.802153,0.483499,0.321136,0.220532,0.884726,0.696048,-0.057966,-0.001146,0.229757,0.227627,0.726881,0.201089,0.122812,0.397923,0.095577,0.040998,-0.101893,-0.858479,-0.394272,0.023935,0.16749,0.097436,0.125855,0.038996,0.189351,0.195932,-0.019884,-0.161831,0.505989,0.000208,-0.33077,-0.121037,-0.086881,0.011455,0.015149,0.013367,0.193606,0.213374,0.239831,0.128765,0.202909,0.022132,0.050344,0.030451,0.419409,0.280408,0.277881,0.021068,0.161686,0.051438,0.082636,0.042204,0.16564,0.05843,0.03382,0.222298,-0.342741,-0.326646,-0.375382,-0.215258,0.211933,,0.249705,,-0.370639,,-0.122252,-0.716011,-0.242645,-0.435525,,0.073822,,,,
常用指标,净资产收益率(ROE),5.98,4.64,2.22,5.83,1.57,1.51,0.5,5.75,4.05,2.89,0.86,27.16,19.67,13.97,6.55,25.61,11.51,5.08,0.72,-275.38,0.0,-0.39,11.67,0.0,-32.09,0.0,0.67,13.83,15.89,10.67,5.25,20.29,13.9,8.92,4.83,22.24,15.29,10.8,3.82,21.29,13.51,0.0,,-191.0,-150.0,-90.03,-24.4,3.46,0.62,1.4,1.7,6.01,-15.69,-16.18,-23.99,-81.62,-36.56,-29.2,-11.74,2.65,-18.15,-14.9,-2.4,-31.83,,-4.82,,-5.93,,2.13,,1.44,,0.85,,1.19,,0.84,,1.69,,1.18,,3.19,,1.63,,,,1.23,,0.99,,,,2.78,,0.85,2.54,,6.16,,13.07,,,,
常用指标,总资产报酬率(ROA),6.121012,4.789057,2.320703,5.954639,2.157406,1.855117,0.780975,6.018144,4.353314,3.117564,1.088056,25.439182,19.038812,13.166841,6.058784,18.873658,9.088938,4.189336,0.78415,17.46988,-5.196396,-5.268378,-0.893264,-45.681447,-6.114314,-1.751661,0.907143,7.934575,9.162543,5.158798,3.047208,10.319096,8.84267,4.697822,3.237887,9.334056,8.517429,-10.882712,-4.451503,-19.945324,-13.970078,-10.538972,-4.403319,-13.808092,-11.634429,-7.774937,-2.650132,2.315234,1.150558,0.768041,0.747919,2.796654,-1.238748,-2.096428,-3.63065,-22.327562,-10.276584,-8.464658,-3.395792,2.375747,-4.432705,-3.600839,-0.422774,-11.086693,-2.887583,-1.513187,-0.679749,-1.012413,3.75288,2.301516,1.008427,2.792647,1.854194,1.243884,0.678588,2.513061,1.637598,1.199662,0.657335,2.924448,2.400548,1.657093,0.728385,3.643557,2.785944,1.825618,0.851843,5.298231,3.155462,1.590406,0.50733,2.474686,2.895662,1.438769,0.509558,2.324748,2.139933,1.253876,2.267054,2.202723,3.822064,2.757338,5.245198,3.788409,12.351796,15.155611,19.94419
常用指标,毛利率,15.290468,17.753568,17.6783,12.040556,6.227726,7.51397,7.339807,10.19309,9.019676,10.729856,8.922339,30.575059,33.434018,36.648855,36.921603,29.201817,16.995774,12.593964,7.215869,-5.242746,-9.2365,-17.783622,-13.946193,-24.360001,-16.167695,-8.781691,8.215178,11.66524,12.897861,14.108428,16.449916,16.057435,16.357109,19.318517,23.756016,22.771394,22.949025,-16.289917,-22.438271,-16.573259,-17.416278,-17.923864,-20.915923,-16.00379,-24.365832,-25.35658,-13.612222,4.65085,1.887388,2.868927,6.976902,0.086277,0.948417,-0.978318,-11.933892,-15.627376,-7.085602,-7.963934,-8.129563,0.108763,-4.534018,-4.221089,1.432085,-7.884528,-1.249771,-0.352971,1.039365,5.740381,8.875283,8.109811,8.011525,9.275458,7.323436,7.306471,8.466235,10.132721,6.780463,4.629602,14.98635,9.255806,10.416385,8.865883,9.685147,9.361732,12.502419,13.300308,11.327772,25.172554,28.606917,22.037935,28.280896,18.332058,16.611903,14.495823,13.597172,8.917528,11.762251,13.779013,12.16804,17.444734,15.850396,21.598755,18.188657,19.410374,19.688214,21.638374,21.816661
常用指标,销售净利率,10.158982,11.679324,11.819265,8.084978,3.022144,4.386209,3.165826,7.730043,7.339198,7.829638,4.895114,25.523761,24.823921,26.483325,26.381675,22.674311,14.618518,10.095114,3.459062,26.774119,-16.872857,-25.658792,-14.979957,-90.242845,-23.053046,-9.554561,1.595925,4.887018,6.957639,7.326334,8.858454,8.170344,8.1725,8.899931,10.425192,10.565544,9.859546,-111.763608,-88.27551,-30.986423,-28.334655,-31.44535,-27.5574,-28.494708,-37.650037,-40.823302,-31.077538,0.588594,0.120405,0.534748,1.70546,0.991681,-3.587947,-5.368018,-16.764241,-24.083192,-18.187422,-19.606022,-20.051884,1.009315,-9.650725,-10.436743,-3.786981,-16.047308,-6.654273,-5.760232,-3.828954,-3.045479,2.224343,1.9017,1.528425,0.891678,0.983511,1.094559,1.109117,1.653453,1.646069,1.847234,1.861967,1.446533,2.060356,1.989916,1.835522,2.635461,3.182703,3.718725,3.237977,6.064452,4.293318,3.100896,2.476124,1.411068,3.289355,2.414768,2.226805,1.741667,1.569627,1.381625,1.87863,5.94034,6.532049,9.438215,8.121422,8.523664,6.19657,9.963028,10.688979
常用指标,期间费用率,3.919545,3.962253,3.49134,4.750558,4.814075,4.797443,4.453829,4.708816,4.15906,4.060851,3.977963,3.488094,2.54589,2.677311,3.497391,7.608002,4.197526,4.455094,5.778558,10.926154,9.554013,11.007481,12.445794,12.80082,11.583705,9.731157,8.582233,5.382009,5.609352,5.590544,5.77309,5.62341,5.713166,6.980119,7.293456,9.80774,10.412015,120.703083,76.912709,12.787194,10.29252,9.451019,6.639471,10.605161,12.122201,13.725516,18.005619,4.69521,4.576383,4.772478,5.6893,5.091912,4.544616,4.401765,4.830348,6.858495,7.551873,6.158434,11.922321,9.074398,5.631064,5.416651,5.201124,6.424794,5.921311,6.351911,4.86513,5.063156,5.44668,5.045029,5.36213,6.793363,5.621057,5.384137,6.057225,8.176182,3.961179,1.604936,11.238209,6.970591,7.996668,7.273862,8.840386,6.0385,7.801254,8.4488,6.990281,13.61221,18.391206,13.83291,24.035097,13.858532,9.862159,9.576226,8.547083,2.861756,5.134229,6.073885,4.798863,4.35554,4.090152,3.891404,5.572828,5.285216,8.044993,7.721035,7.412718
常用指标,资产负债率,22.393324,22.330669,21.733723,20.998547,23.193133,25.33152,27.213632,26.713958,26.052,27.346904,26.014776,25.802153,28.973136,30.606918,31.268353,30.746589,32.599243,34.785109,36.092552,31.147754,120.084284,118.864359,115.227627,114.139809,76.97394,71.221034,70.297602,68.938642,68.079804,68.978336,68.420587,65.451085,62.007655,59.736791,60.890834,63.160406,64.993592,144.253148,134.028552,127.961445,118.007857,113.00856,104.658368,99.607041,97.69365,94.746833,89.437618,86.270797,86.32515,85.654981,84.790867,82.096609,85.034278,85.195255,85.992306,79.030265,72.331103,71.39658,66.689182,63.423684,70.534453,70.032503,68.539559,66.071237,59.048531,58.762027,55.017893,56.692348,50.524578,48.559614,47.60692,48.060477,49.95702,49.595366,51.132474,49.837626,50.888528,52.657267,53.390602,49.883752,51.896828,50.866851,52.623876,50.920645,54.790573,55.077243,55.209567,53.824908,55.52947,54.565141,54.690828,53.805185,52.208387,51.359863,52.111674,50.631216,56.568811,56.604348,54.385793,61.002137,60.187949,55.127778,54.882993,65.674214,65.308022,62.63736,46.921133
每股指标,基本每股收益,0.1569,0.121,0.0571,0.1443,0.0381,0.0365,0.0121,0.1342,0.0937,0.0665,0.0195,0.5495,0.3855,0.2673,0.12,0.4047,0.17,0.07,0.01,0.8162,-0.37,-0.32,-0.08,-2.8461,-0.63,-0.19,0.02,0.41,0.34,0.23,0.16,0.52,0.25,0.22,0.11,0.5,0.37,0.27,0.1,0.46,0.26,-0.42,-0.18,-0.78,-0.69,-0.5,-0.17,0.03,0.005,0.01,0.01,0.04,-0.103,-0.11,-0.15,-0.96,-0.51,-0.42,-0.18,0.04,-0.26,-0.22,-0.04,-0.6,-0.19,-0.1,-0.04,-0.13,0.09,0.05,0.02,0.03,0.03,0.02,0.01,0.03,0.03,0.02,0.01,0.04,,0.03,,0.08,,,,,,0.03,,0.0235,,,,0.0659,,0.021,0.06,,0.154,,0.22,,,,
每股指标,稀释每股收益,0.1569,0.121,0.0571,0.1443,0.0381,0.0365,0.0121,0.1342,0.0937,0.0665,0.0195,0.5495,0.3855,0.2673,0.12,0.4047,0.17,0.07,0.01,0.8162,-0.37,-0.32,-0.08,-2.8461,-0.63,-0.19,0.02,0.41,0.34,0.23,0.16,0.52,0.25,0.22,0.11,0.5,0.37,0.27,0.1,0.46,0.26,-0.42,-0.18,-0.78,-0.69,-0.5,-0.17,0.03,0.005,0.01,0.01,0.04,-0.103,-0.11,-0.15,-0.96,-0.51,-0.42,-0.18,0.04,-0.26,-0.22,-0.04,-0.6,-0.19,-0.1,-0.04,-0.13,0.09,0.05,0.02,0.03,0.03,0.02,0.01,0.03,0.03,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
