REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,STD_REPORT_DATE,ACCOUNTS_PAYABLE,DEFER_INCOME,DEFER_INCOME_1YEAR,LONG_LOAN,MONETARYFUNDS,NET_CURRENT_ASSETS,PREPAYMENT,RESTRICTED_CASH,SHARE_CAPITAL,SHORT_LOAN,TAX_PAYABLE,TOTAL_ASSETS,TOTAL_ASSETS_LESS_CURRENT_LIAB,TOTAL_CURRENT_ASSETS,TOTAL_CURRENT_LIAB,TOTAL_EQUITY,TOTAL_LIABILITIES,TOTAL_LIAB_EQUITY,TOTAL_NONCURRENT_ASSETS,TOTAL_NONCURRENT_LIAB,TOTAL_PARENT_EQUITY,UNASSIGN_RPOFIT,储备,其他储备,其他应付款及应计费用,其他流动负债,其他流动资产,其他金融资产(非流动),其他非流动资产,可供出售投资,合同负债,商誉,在建工程,存货,应付关联方款项(流动),应付股利,应收关联方款项,应收帐款,总权益及非流动负债,总资产减总负债合计,拟派股息,拨备(流动),指定以公允价值记账之金融资产,指定以公允价值记账之金融资产(流动),无形资产,物业厂房及设备,短期存款,融资租赁负债(流动),融资租赁负债(非流动),衍生金融工具-负债(流动),衍生金融工具-资产(流动),贷款及垫款,贷款及垫款(流动),递延税项负债,递延税项资产,非流动资产其他项目,非运算项目,预计负债
2004-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2004-12-31 00:00:00,32058000.0,,,,2118000.0,-21203000.0,40062000.0,,80095000.0,,,394573000.0,164149000.0,209221000.0,230424000.0,328298000.0,230424000.0,394573000.0,185352000.0,,164149000.0,84054000.0,,,,198366000.0,,,1724000.0,,,,1088000.0,62800000.0,,,,104241000.0,164149000.0,,,,,,,182540000.0,,,,,,,,,,,267682000.0,
2005-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2005-12-31 00:00:00,140876000.0,,,,4698000.0,-24591000.0,100655000.0,,99600000.0,29452000.0,,858497000.0,229122000.0,604784000.0,629375000.0,458244000.0,629375000.0,858497000.0,253713000.0,,229122000.0,129522000.0,,,,459047000.0,69000.0,,605000.0,,,,29969000.0,143239000.0,,,,356123000.0,229122000.0,,,,,,,223139000.0,,,,,,,,,,,382630000.0,
2006-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2006-12-31 00:00:00,818088000.0,,,,607977000.0,-205332000.0,145533000.0,1622000.0,181036000.0,233195000.0,96000.0,3200659000.0,860611000.0,2134716000.0,2340048000.0,1721222000.0,2340048000.0,3200659000.0,1065943000.0,,860611000.0,,679575000.0,,268674000.0,,,,,,,,,481213000.0,1016635000.0,,74170000.0,945550000.0,860611000.0,,,,,,6028000.0,931928000.0,,,,3360000.0,4337000.0,,,,2301000.0,,,
2007-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2007-06-30 00:00:00,500764000.0,,,,184091000.0,-416528000.0,224334000.0,40710000.0,1000.0,900676000.0,,3179835000.0,1006286000.0,1757021000.0,2173549000.0,2012572000.0,2173549000.0,3179835000.0,1422814000.0,,1006286000.0,,1006285000.0,,265320000.0,,,,,,,,,603648000.0,500560000.0,,162097000.0,659999000.0,1006286000.0,,,,,,8650000.0,1290059000.0,,,,6229000.0,2043000.0,,,,4204000.0,,,
2007-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2007-12-31 00:00:00,1416141000.0,,,,3194906000.0,2969538000.0,344806000.0,21784000.0,211929000.0,1296983000.0,,8237272000.0,4891788000.0,6315022000.0,3345484000.0,9783576000.0,3345484000.0,8237272000.0,1922250000.0,,4891788000.0,,4679859000.0,,489689000.0,,,,,,,,,1062926000.0,135391000.0,,145934000.0,1794005000.0,4891788000.0,,,,,,13546000.0,1643129000.0,,,,7280000.0,6530000.0,,,,9706000.0,,,
2008-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2008-06-30 00:00:00,1486251000.0,,,,2934103000.0,2547577000.0,426814000.0,1419000.0,218668000.0,822736000.0,27670000.0,9201173000.0,5641449000.0,6107301000.0,3559724000.0,11282898000.0,3559724000.0,9201173000.0,3093872000.0,,5641449000.0,,5422781000.0,,654577000.0,,,,,,,16327000.0,,1404670000.0,449908000.0,118582000.0,138292000.0,1394936000.0,5641449000.0,,,,,100457000.0,14055000.0,2746768000.0,,,,,2490000.0,,,,20842000.0,,,
2008-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2008-12-31 00:00:00,1467518000.0,,,,1141478000.0,2252800000.0,700460000.0,3358000.0,217070000.0,14256000.0,23428000.0,8418186000.0,5837536000.0,4833450000.0,2580650000.0,11675072000.0,2580650000.0,8418186000.0,3584736000.0,,5837536000.0,,5620466000.0,,557813000.0,,,,,,,,,1824003000.0,517635000.0,,121250000.0,1526898000.0,5837536000.0,,,,,,12959000.0,3031354000.0,,,,,,,,,56426000.0,,,
2009-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2009-06-30 00:00:00,1616129000.0,,,,1119851000.0,2318144000.0,487704000.0,3159000.0,217070000.0,,32496000.0,8476146000.0,6052465000.0,4741825000.0,2423681000.0,12104930000.0,2423681000.0,8476146000.0,3734321000.0,,6052465000.0,,5835395000.0,,546800000.0,,,,,,,,,1609102000.0,228256000.0,,133042000.0,1767459000.0,6052465000.0,,,,,,12175000.0,3283648000.0,,,,,,,,,60006000.0,,,
2009-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2009-12-31 00:00:00,2833832000.0,,,,1192943000.0,2845616000.0,580552000.0,,216999000.0,,18373000.0,10276740000.0,6627944000.0,6494412000.0,3648796000.0,13255888000.0,3648796000.0,10276740000.0,3782328000.0,,6627944000.0,,6259980000.0,,556904000.0,,,,,,,,,1769093000.0,239687000.0,,168874000.0,3047767000.0,6627944000.0,,150965000.0,,,,10841000.0,3428446000.0,,,,,,,,,78224000.0,,,
2010-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2010-06-30 00:00:00,2754627000.0,,,,1131127000.0,3056305000.0,484053000.0,,216999000.0,,21020000.0,10638577000.0,6846265000.0,6848617000.0,3792312000.0,13692530000.0,3792312000.0,10638577000.0,3789960000.0,,6846265000.0,,6629266000.0,,702882000.0,,,,,,,,,1969909000.0,313783000.0,,200896000.0,3226348000.0,6846265000.0,,,,,,13112000.0,3535173000.0,,,,,,,,,77959000.0,,,
2010-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2010-12-31 00:00:00,2789910000.0,,,,1559025000.0,3735439000.0,462818000.0,,216999000.0,,80994000.0,11485108000.0,7522123000.0,7698424000.0,3962985000.0,15044246000.0,3962985000.0,11485108000.0,3786684000.0,,7522123000.0,,7305124000.0,,740291000.0,,,,,,,,,1890319000.0,351790000.0,,153983000.0,3819712000.0,7522123000.0,,,,,,15705000.0,3481239000.0,,,,,,,,,102307000.0,,,
2011-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2011-06-30 00:00:00,3164882000.0,,,,2471110000.0,3858936000.0,512829000.0,,216999000.0,,43084000.0,11850696000.0,7848114000.0,7861518000.0,4002582000.0,15696228000.0,4002582000.0,11850696000.0,3989178000.0,,7848114000.0,,7631115000.0,,669869000.0,,,,,,,,,1542293000.0,124747000.0,,236822000.0,3419313000.0,7848114000.0,,,,,,12070000.0,3535725000.0,,,,,,,,,120534000.0,,,
2011-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2011-12-31 00:00:00,3467996000.0,,,,2106993000.0,3315543000.0,782605000.0,100000000.0,216999000.0,,51679000.0,12577848000.0,7991533000.0,7901858000.0,4586315000.0,15983066000.0,4586315000.0,12577848000.0,4675990000.0,,7991533000.0,,7653973000.0,,775371000.0,,,,,,,,,1780122000.0,291269000.0,,257024000.0,3446342000.0,7991533000.0,7991533000.0,120561000.0,,,,9331000.0,3560203000.0,,,,,,400000000.0,,,135228000.0,,,
2012-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2012-06-30 00:00:00,2980128000.0,,,,2635909000.0,3343846000.0,376145000.0,,216999000.0,,57506000.0,12087437000.0,8101857000.0,7329426000.0,3985580000.0,16203714000.0,3985580000.0,12087437000.0,4758011000.0,,8101857000.0,,7884858000.0,,604514000.0,,,,,,,,,1554672000.0,222871000.0,120561000.0,201693000.0,2771960000.0,8101857000.0,,,,,,10197000.0,3970775000.0,,,,,,400000000.0,,,166086000.0,,,
2012-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2012-12-31 00:00:00,2749953000.0,,,,2111365000.0,3545544000.0,438511000.0,16532000.0,216999000.0,,64655000.0,11888796000.0,8254418000.0,7179922000.0,3634378000.0,16508836000.0,3634378000.0,11888796000.0,4708874000.0,,8254418000.0,,8037419000.0,,632028000.0,,,,,,,,,1738539000.0,187742000.0,,334047000.0,2751198000.0,8254418000.0,,,,,,8360000.0,3913812000.0,,,,,,400000000.0,,,176432000.0,,,
2013-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2013-06-30 00:00:00,3687441000.0,,,,1961124000.0,3749138000.0,533603000.0,117189000.0,216999000.0,,63584000.0,13346235000.0,8518798000.0,8576575000.0,4827437000.0,17037596000.0,4827437000.0,13346235000.0,4769660000.0,,8518798000.0,,8301799000.0,,789523000.0,,,,,,,,,2127584000.0,286889000.0,,218480000.0,3838637000.0,8518798000.0,8518798000.0,,,,,8848000.0,3950110000.0,,,,,,400000000.0,,,190660000.0,,,
2013-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2013-12-31 00:00:00,3833975000.0,,,,2375234000.0,3747518000.0,743183000.0,86851000.0,216999000.0,,71285000.0,13876605000.0,8834141000.0,8789982000.0,5042464000.0,17668282000.0,5042464000.0,13876605000.0,5086623000.0,0.0,8834141000.0,,,8552301000.0,646762000.0,,,,,,,,,1862279000.0,490442000.0,,379066000.0,3437408000.0,8834141000.0,,64841000.0,,,,8851000.0,4209854000.0,200000000.0,,,,,400000000.0,,,173879000.0,,4052228000.0,
2014-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2014-06-30 00:00:00,3490708000.0,,,,1717238000.0,4470311000.0,602625000.0,49286000.0,216999000.0,,89798000.0,14866025000.0,9403872000.0,9932464000.0,5462153000.0,18807744000.0,5462153000.0,14866025000.0,4933561000.0,,9403872000.0,,9186873000.0,,667055000.0,,,,,,,,,1994164000.0,1149700000.0,64892000.0,437314000.0,5140659000.0,9403872000.0,,,,,,8377000.0,4018066000.0,312851000.0,,,,,400000000.0,,,185445000.0,,,
2014-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2014-12-31 00:00:00,6319576000.0,,,,1740182000.0,3678702000.0,1121555000.0,101909000.0,4052228000.0,,77187000.0,16834457000.0,9665212000.0,10847947000.0,7169245000.0,19330424000.0,7169245000.0,16834457000.0,5986510000.0,,9665212000.0,,,5612984000.0,772482000.0,,,,,,,,,2438583000.0,,,,5994863000.0,9665212000.0,,,,,,20596000.0,4697261000.0,139051000.0,,,,,400000000.0,,,180457000.0,,,
2015-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2015-06-30 00:00:00,3547457000.0,,,,1704536000.0,2689110000.0,822715000.0,45014000.0,4052228000.0,,95176000.0,17818062000.0,10117917000.0,10389255000.0,7700145000.0,20235834000.0,7700145000.0,17818062000.0,7428807000.0,0.0,10117917000.0,,,6065689000.0,1883917000.0,,,,,,,,,3100342000.0,2173595000.0,,534142000.0,4339629000.0,10117917000.0,,,,,,18645000.0,6297346000.0,362211000.0,,,,,400000000.0,,,193482000.0,,,
2015-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2015-12-31 00:00:00,9265345000.0,,,,1958902000.0,2750702000.0,871175000.0,1155000.0,4052228000.0,,168036000.0,22244401000.0,10547779000.0,14447324000.0,11696622000.0,21095558000.0,11696622000.0,22244401000.0,7797077000.0,0.0,10547779000.0,,,6495551000.0,2234186000.0,,,,,,,,,3948269000.0,29055000.0,,4786000.0,7906438000.0,,10547779000.0,,,,,17680000.0,6656894000.0,268600000.0,,,,,400000000.0,,,210502000.0,,,
2016-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2016-06-30 00:00:00,6977164000.0,,,,2278961000.0,3665519000.0,812214000.0,,4052228000.0,,131982000.0,20166218000.0,11191596000.0,12640141000.0,8974622000.0,22383192000.0,8974622000.0,20166218000.0,7526077000.0,,11191596000.0,,,7139368000.0,1861243000.0,,,,,,,,,4083728000.0,4233000.0,,1117000.0,5768533000.0,11191596000.0,,,,,,28873000.0,6344100000.0,240700000.0,,,,,400000000.0,,,207992000.0,,,
2016-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2016-12-31 00:00:00,10118810000.0,,,,2966064000.0,4102964000.0,1011698000.0,,4052228000.0,,120536000.0,23994987000.0,11754222000.0,16343729000.0,12240765000.0,23508444000.0,12240765000.0,23994987000.0,7651258000.0,,11754222000.0,,,7701994000.0,1998659000.0,,,,,,,,,3337732000.0,2760000.0,,,9394599000.0,11754222000.0,11754222000.0,,,,,24938000.0,6396606000.0,247360000.0,,,,,400000000.0,,,215990000.0,,,
2017-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2017-06-30 00:00:00,7654097000.0,79803000.0,222000.0,,2646708000.0,4769165000.0,1200636000.0,,4052228000.0,,225962000.0,22753371000.0,13008507000.0,14514029000.0,9744864000.0,25857408000.0,9824667000.0,22753371000.0,8239342000.0,79803000.0,12928704000.0,,,8876476000.0,1864583000.0,,,,,13779000.0,,,,4302456000.0,,,,7181261000.0,13008507000.0,12928704000.0,,,,,22927000.0,6758816000.0,,,,,,400000000.0,,,226788000.0,,,
2017-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2017-12-31 00:00:00,8982988000.0,81097000.0,75301000.0,,2822267000.0,5553180000.0,1304136000.0,71000.0,4052228000.0,,173367000.0,25386326000.0,14298322000.0,16641184000.0,11088004000.0,28382626000.0,11195013000.0,25386326000.0,8745142000.0,107009000.0,14191313000.0,,,10139085000.0,1855408000.0,,,,,13779000.0,,,,4607845000.0,940000.0,,,8556349000.0,14298322000.0,14191313000.0,,,,,25073000.0,7430949000.0,,,,,,400000000.0,,25912000.0,225857000.0,,,
